id,id_old,x_geo [pixels],y_geo [pixels],z_geo [pixels],x [pixels],y [pixels],z [pixels],x_min [pixels],x_max [pixels],y_min [pixels],y_max [pixels],z_min [pixels],z_max [pixels],n_pix,n_chan [channels],n_los [pixels],ell3s_maj [pixels],ell3s_min [pixels],ell3s_pa [deg],ell_maj [pixels],ell_min [pixels],ell_pa [deg],f_int [K],f_peak [K],f_wm50 [K],kin_pa [deg],rms [K],snr_int,w20 [channels],w50 [channels],wm50 [channels],ra [deg],dec [deg],vopt [m/s]
1001035.006,6.0,275.684,346.085,520.113,275.916,345.88,520.471,270.0,280.0,342.0,354.0,503.0,542.0,1412.0,39.0,66.0,6.2952,3.5313,22.28,5.4424,3.0855,22.6666,436.0363,1.1677,19.1455,38.1686,0.197,58.9107,31.2355,19.8561,23.1567,99.659725,11.856341,-370291.36
1001035.009,9.0,459.466,397.198,530.192,459.149,396.936,529.412,455.0,464.0,393.0,403.0,505.0,558.0,2058.0,53.0,62.0,5.3683,3.3612,-33.4569,5.1901,2.9016,-38.9802,591.3262,1.2437,0.0,316.3212,0.19,68.6058,40.5496,28.5821,0.0,96.605844,12.707274,-363709.23
1001035.018,18.0,507.924,395.629,552.132,508.101,395.636,551.367,504.0,512.0,391.0,402.0,534.0,571.0,1525.0,37.0,64.0,5.4339,3.8428,-6.0281,5.1878,3.487,-11.094,405.8199,0.9712,21.2676,149.7495,0.1949,53.3322,28.6373,17.8999,23.3928,95.789973,12.6856,-347548.05
1001035.02,20.0,9.386,341.107,527.259,9.377,340.952,527.247,7.0,13.0,337.0,345.0,512.0,544.0,722.0,32.0,34.0,4.1978,2.4344,-24.7686,3.8894,2.2573,-27.0992,202.5834,0.9079,8.1353,321.8749,0.2079,36.2625,27.8391,21.6075,25.379,104.10206,11.774209,-365303.31
1001035.04,49.0,217.688,507.191,911.892,217.754,507.279,912.351,210.0,224.0,502.0,512.0,896.0,928.0,1605.0,32.0,86.0,6.6295,4.5489,76.079,5.6603,3.9259,76.9731,490.4322,1.1434,27.1067,67.5436,0.1982,61.7628,22.8458,15.1442,19.3657,100.6291,14.546324,-81819.046
1001035.041,51.0,458.469,509.362,922.741,458.468,509.704,925.045,454.0,464.0,507.0,512.0,904.0,945.0,946.0,41.0,39.0,4.8372,2.5495,87.6862,4.0189,2.3951,-89.8541,457.9531,1.372,21.914,88.1977,0.2468,60.3378,34.6397,22.5119,22.7,96.61719,14.586739,-72475.187
1001035.047,60.0,356.379,214.053,970.324,355.955,213.835,970.977,349.0,365.0,207.0,222.0,937.0,996.0,5053.0,59.0,167.0,7.9919,7.0425,-47.3953,6.3417,5.6211,-37.2436,3539.6278,2.3351,0.0,275.1027,0.2216,224.7344,41.4169,28.6368,0.0,98.32575,9.6555772,-38663.631
1001035.048,61.0,383.504,435.256,925.921,383.257,435.206,927.71,379.0,389.0,432.0,439.0,909.0,943.0,1107.0,34.0,53.0,5.1662,3.1648,-76.7167,4.3774,2.8711,-80.2249,357.7976,1.2597,0.0,102.7331,0.1969,54.6089,25.5422,17.946,0.0,97.870711,13.345099,-70513.557
1001035.055,69.0,469.718,490.935,959.866,469.672,490.928,960.659,466.0,474.0,487.0,496.0,929.0,991.0,2096.0,62.0,58.0,4.7897,3.8462,-27.0285,4.2112,3.0544,-28.5611,1695.3941,1.904,0.0,181.9813,0.3116,118.8371,48.7731,34.4516,0.0,96.430454,14.273813,-46258.455
1001035.056,70.0,186.108,507.334,936.464,186.027,507.676,936.443,182.0,199.0,502.0,512.0,921.0,952.0,1366.0,31.0,92.0,7.7722,4.554,-74.6648,5.4015,4.366,-71.1584,710.7638,1.4597,43.3647,158.082,0.2512,76.5434,23.596,16.1958,19.4035,101.15789,14.552943,-64084.466
1001035.061,75.0,461.805,500.895,990.343,461.265,500.584,990.395,457.0,470.0,494.0,508.0,974.0,1009.0,2257.0,35.0,125.0,7.9082,4.8496,-38.0969,6.6911,4.3686,-32.5582,2506.0319,2.6248,0.0,181.8237,0.5163,102.1639,25.4136,16.6451,0.0,96.570585,14.434743,-24369.289
1001035.063,80.0,507.234,368.014,940.735,507.414,367.827,942.061,503.0,512.0,364.0,372.0,925.0,959.0,983.0,34.0,48.0,4.9531,3.1434,46.7391,4.1045,2.7076,49.8015,433.4389,1.085,26.3792,45.3054,0.2021,68.4101,24.4766,18.0933,18.356,95.801419,12.222114,-59949.225
1001035.068,94.0,482.608,173.617,954.15,482.821,173.748,956.048,477.0,489.0,169.0,180.0,929.0,981.0,3454.0,52.0,116.0,6.4884,5.7002,84.101,5.6581,4.961,88.0365,1364.7452,1.1262,76.3516,341.2663,0.2135,108.7858,42.0082,32.7674,21.9306,96.211303,8.9874597,-49653.146
1001035.07,98.0,377.277,238.924,977.49,377.115,238.955,978.921,372.0,385.0,235.0,243.0,960.0,993.0,1342.0,33.0,66.0,6.8692,3.1822,69.4071,5.901,2.8078,70.0219,740.9568,1.4924,0.0,226.5954,0.2374,85.2132,24.5396,17.37,0.0,97.973082,10.074254,-32815.825
1001035.076,105.0,142.5,499.991,948.387,142.581,500.005,948.744,138.0,147.0,496.0,506.0,937.0,959.0,806.0,22.0,69.0,5.5974,3.7072,-41.2021,4.985,3.1603,-42.3998,502.6544,1.4669,34.6168,134.2977,0.2581,68.6108,18.0335,14.9072,15.4277,101.88199,14.425092,-55029.488
1001035.08,111.0,326.234,240.627,953.269,326.111,240.34,953.684,322.0,331.0,234.0,246.0,939.0,971.0,978.0,32.0,61.0,7.3762,2.8127,-28.6228,6.3153,2.332,-29.3499,699.3295,1.8882,0.0,148.5702,0.1926,116.0771,22.4284,15.0143,0.0,98.823153,10.097338,-51393.344
1001035.082,113.0,466.079,177.67,963.983,466.085,177.417,965.189,459.0,472.0,172.0,184.0,943.0,983.0,2677.0,40.0,114.0,6.1826,5.8936,51.321,5.2767,4.9586,29.4894,1674.4277,1.911,57.3841,202.628,0.2186,148.0283,28.1056,17.2618,22.9157,96.490251,9.0486107,-42924.334
1001035.088,123.0,338.483,341.365,983.234,338.596,341.585,982.294,334.0,346.0,338.0,347.0,963.0,997.0,1175.0,34.0,73.0,6.7194,3.2938,-52.5619,5.5751,2.6493,-52.4287,801.0584,1.679,20.7984,312.7393,0.3043,76.8005,31.9354,19.1164,31.546,98.615068,11.784749,-30332.892
1001035.358,651.0,26.059,144.878,1132.302,26.17,144.886,1132.202,23.0,30.0,141.0,150.0,1120.0,1145.0,884.0,25.0,53.0,4.9597,3.2189,-19.4402,4.5122,3.0008,-16.8189,250.6628,0.7953,14.5435,157.3215,0.1892,44.5615,21.1754,15.3163,16.2582,103.82218,8.5064369,80017.678
1001035.383,693.0,271.182,236.388,1128.672,271.213,236.484,1129.371,268.0,275.0,232.0,242.0,1110.0,1149.0,1267.0,39.0,56.0,4.9394,3.5025,9.5853,4.1836,3.1977,8.5477,344.3034,0.782,9.8731,0.1281,0.1958,49.3968,29.687,17.6356,29.4201,99.73812,10.033066,77934.218
1001035.39,700.0,77.069,90.649,1151.142,77.021,90.784,1150.731,74.0,80.0,86.0,95.0,1135.0,1169.0,871.0,34.0,40.0,4.8569,2.6439,20.0616,4.5148,2.3733,17.7493,244.4773,0.8555,4.7638,40.9733,0.1979,41.8585,27.0289,16.6222,27.5551,102.97465,7.6047251,93657.623
1001035.391,702.0,190.244,345.196,1371.308,190.317,345.653,1371.477,187.0,194.0,340.0,350.0,1345.0,1399.0,1133.0,54.0,43.0,5.5451,2.3987,-31.649,4.0811,1.9211,-27.6861,714.8695,2.4814,0.0,328.8928,0.199,106.7426,43.5862,24.7381,0.0,101.08638,11.852556,256153.96
