id,id_old,x_geo [pixels],y_geo [pixels],z_geo [pixels],x [pixels],y [pixels],z [pixels],x_min [pixels],x_max [pixels],y_min [pixels],y_max [pixels],z_min [pixels],z_max [pixels],n_pix,n_chan [channels],n_los [pixels],ell3s_maj [pixels],ell3s_min [pixels],ell3s_pa [deg],ell_maj [pixels],ell_min [pixels],ell_pa [deg],f_int [K],f_peak [K],f_wm50 [K],kin_pa [deg],rms [K],snr_int,w20 [channels],w50 [channels],wm50 [channels],ra [deg],dec [deg],vopt [m/s],y/n/m,notes,"AGCnr, Name",ALFALFA notes,cube notes
760235.059,73,412.971,230.013,898.986,413.008,229.941,898.012,409,418,225,235,871,933,2626,62,70,4.8126,4.507,-2.5634,4.3308,3.8386,-5.1306,598.5519,1.0399,21.9391,334.6731,0.1888,61.8599,43.4077,26.9072,32.1591,73.37465,1.9240262,-92374.296,n,,,,
760235.064,79,435.481,466.833,912.284,435.074,466.966,911.23,428,444,460,474,887,935,5051,48,175,7.6473,7.0285,82.6569,6.7779,5.8717,77.0889,1547.6816,1.0707,0,63.4617,0.198,110.0011,34.0405,19.1062,0,73.006884,5.8744502,-82644.522,m,,,,
760235.066,81,385.688,206.8,909.484,385.649,206.767,908.596,383,389,202,213,888,932,1369,44,49,5.9127,2.5193,19.0724,5.218,2.3847,21.4857,326.2177,0.8519,12.4751,227.9464,0.2063,42.7359,36.7229,24.0889,30.041,73.830639,1.5377817,-84583.742,n,,,,
760235.067,82,1.975,321.626,940.278,1.837,321.743,940.709,0,5,317,327,925,955,773,30,40,4.8341,2.431,11.3084,4.539,2.1482,11.5973,224.4872,0.8935,12.3931,359.3173,0.1815,44.4873,26.3033,17.1426,17.7584,80.227513,3.454063,-60944.519,n,edge,,,
760235.069,84,122.047,70.806,946.379,122.031,70.409,946.48,110,130,65,81,922,973,4526,51,171,7.8927,6.5424,-35.0107,6.481,5.9442,-32.5194,1646.4512,1.2225,74.8593,146.7691,0.2391,102.3704,34.7606,25.1095,23.0041,78.224284,-0.7348493,-56696.352,n,,,,
760235.072,88,264.617,372.264,970.963,264.673,372.235,973.046,259,271,368,378,949,993,2230,44,84,5.8309,4.2406,64.0005,4.9709,3.7613,65.1778,667.5769,1.5348,15.8341,56.6873,0.2211,63.9424,32.341,22.7396,32.2433,75.846913,4.2955885,-37140.342,n,,,,
760235.095,123,224.604,155.61,971.05,224.754,155.634,972.742,220,232,153,163,958,984,482,26,50,6.3702,5.0996,61.0189,5.2146,4.0751,65.6931,184.6133,1.2275,11.4851,263.2016,0.2363,35.5894,23.2077,20.2117,22.0092,76.512223,0.68556615,-37364.296,n,,,,
760235.279,461,474.822,179.062,1376.501,474.942,179.013,1375.746,470,480,172,187,1346,1404,2803,58,93,7.7617,3.9054,12.8549,7.8518,3.3097,9.2642,1064.0266,1.5868,39.8661,197.9238,0.2163,92.9028,40.1355,25.4162,31.7206,72.342412,1.0752112,259296.19,n,260 km/s cluster,,,
760235.291,474,477.504,368.57,1367.692,477.538,368.678,1368.468,472,482,365,374,1344,1393,1229,49,45,6.6311,2.5956,-50.9985,6.6392,2.4822,-48.939,481.0314,1.3421,6.4716,309.2597,0.2116,64.8469,38.0316,30.2856,39.3682,72.299152,4.2363137,253938.82,n,260 km/s cluster,,,
760235.292,475,448.748,176.802,1353.436,448.776,176.322,1354.859,445,454,173,185,1328,1387,1653,59,58,5.8954,3.5557,-29.127,5.2925,2.8066,-30.2607,615.1631,1.4414,20.2144,137.0261,0.2123,71.2638,43.2448,22.261,31.2882,72.778518,1.0303747,243921.27,n,260 km/s cluster,,,
