# id,id_old,x_geo [pixels],y_geo [pixels],z_geo [pixels],x [pixels],y [pixels],z [pixels],x_min [pixels],x_max [pixels],y_min [pixels],y_max [pixels],z_min [pixels],z_max [pixels],n_pix,n_chan [channels],n_los [pixels],ell3s_maj [pixels],ell3s_min [pixels],ell3s_pa [deg],ell_maj [pixels],ell_min [pixels],ell_pa [deg],f_int [K],f_peak [K],f_wm50 [K],kin_pa [deg],rms [K],snr_int,w20 [channels],w50 [channels],wm50 [channels],ra [deg],dec [deg],vopt [m/s],y/n/m
1403435.207,314,265.246,193.838,1195.249,265.28,193.686,1195.353,261,270,190,201,1176,1214,1531,38,72,5.221,4.2627,-33.1736,4.4656,3.6773,-54.3461,345.6727,1.0332,15.328,72.6211,0.1592,55.4996,26.5936,15.8375,23.6777,139.83692,33.319828,126504.73,n
1560235.124,205,461.899,359.717,1056.8,461.866,359.754,1056.741,459,466,355,366,1035,1078,1699,43,67,5.6992,3.5065,2.7618,4.9915,3.1805,2.0039,417.4298,0.909,7.5497,196.4173,0.1928,52.5325,34.3939,20.3443,35.8163,152.5605,4.0875668,24469.261,n
1560235.143,230,363.511,475.87,1204.011,363.546,475.886,1203.524,356,371,470,483,1182,1226,3328,44,125,7.8429,4.7852,-51.7229,7.0921,4.4823,-47.5734,618.9652,0.8688,23.9826,336.8838,0.1815,59.1266,30.1102,23.8562,25.9513,154.19919,6.0231136,132519.85,n
1560235.151,239,321.509,296.563,1069.304,321.583,296.731,1069.449,318,329,292,302,1050,1087,1424,37,74,5.8952,3.9319,-41.1419,5.2289,3.6979,-43.3505,384.6167,0.8691,19.7153,307.2421,0.21,48.5396,28.8276,17.0841,18.9656,154.89857,3.0371811,33823.853,n
1560235.155,246,326.775,273.26,1077.786,326.724,273.256,1076.605,323,331,268,279,1059,1097,1441,38,64,5.9813,3.0989,-24.4456,5.4347,2.7502,-22.5864,404.2223,0.9475,20.5437,170.4149,0.1986,53.619,29.9557,18.8658,19.7805,154.81289,2.6459415,39092.067,n
1560235.171,267,163.139,286.974,1142.298,163.298,287.029,1142.619,159,169,282,293,1127,1158,1314,31,72,6.0611,3.6864,-42.284,5.9256,3.3799,-44.5379,273.1715,0.7325,17.1153,135.2674,0.1974,38.1692,20.9143,15.7329,17.1374,157.53665,2.8754929,87685.858,n
1561035.015,23,113.504,242.835,943.77,113.536,242.796,943.722,109,119,240,246,931,960,678,29,41,4.5556,2.2361,-64.4559,4.3516,2.2017,-67.9317,157.9052,0.882,6.0794,309.2959,0.2406,25.2051,22.7704,19.2419,22.4619,158.36602,10.138282,-58726.323,n
1561035.016,25,99.95,243.452,944.49,99.924,243.46,944.402,96,106,240,247,929,961,1003,32,56,4.808,3.1864,-74.7722,4.3391,2.9861,-73.0586,248.4767,0.8474,11.8642,286.8373,0.205,38.2805,23.5607,14.6991,21.0489,158.59289,10.14936,-58226.025,n
1561035.030,45,507.143,504.793,953.476,507.537,504.958,954.055,500,512,501,510,938,970,1205,32,68,5.0877,4.0632,-65.6789,4.9259,3.5905,-65.7613,282.9947,1.0736,20.5071,287.9537,0.1828,44.6013,20.9108,16.5185,16.6224,151.79933,14.50766,-51119.872,n
1561035.102,199,316.538,54.136,1057.549,316.528,54.159,1057.758,314,322,48,60,1046,1075,918,29,62,6.7268,2.8568,17.4033,6.1069,2.6788,14.8934,251.7985,1.061,4.0239,10.6907,0.2385,34.8487,22.7088,16.9128,25.2003,154.98281,6.9943234,25218.124,n
1561035.228,411,276.802,84.284,1162.733,276.867,84.319,1163.113,274,281,80,89,1150,1178,686,28,40,4.5715,2.5892,-25.6309,4.4793,2.4615,-23.2573,164.2297,1.0283,8.0319,157.6528,0.2144,29.2473,24.3416,19.526,23.6666,155.64383,7.4970021,102772.5,n
1561835.004,4,62.345,137.697,692.359,61.949,137.703,691.933,56,65,135,141,681,707,145,26,27,6.0867,2.1928,66.5977,4.7492,2.0801,70.1312,74.6424,1.5486,3.8976,245.6302,0.2419,25.6269,17.4234,16.5173,17.6141,159.22581,16.386751,-244074.32,n
1561835.014,18,54.585,106.81,547.842,54.762,106.705,547.744,51,62,103,110,532,565,805,33,43,6.436,2.2008,70.5908,5.0785,2.1479,73.1005,164.4843,0.8096,5.9945,356.6053,0.1966,29.4916,25.6382,18.4183,25.0054,159.3456,15.870114,-350214.55,n
1561835.023,34,450.266,81.739,916.55,450.27,81.84,916.981,446,455,78,88,900,929,763,29,54,4.7474,2.7065,-73.3513,4.4021,2.8154,-74.6347,183.1542,0.9143,8.1907,298.9237,0.2373,27.9468,22.0015,16.1994,21.7981,152.75378,15.455691,-78411.188,n
1561835.062,98,479.15,248.866,966.819,479.056,248.56,968.044,472,490,241,257,948,985,3228,37,155,7.9827,7.5424,-12.4523,7.3014,6.1816,-16.292,820.2285,0.8568,64.5492,184.1266,0.198,72.9259,30.1971,17.6011,13.8227,152.27402,18.234375,-40822.561,n
1562635.163,296,498.785,290.585,1121.626,498.748,290.599,1121.239,495,505,286,296,1104,1144,2030,40,85,5.4838,4.9226,-57.1252,4.9867,4.3931,-68.6054,377.5595,0.7512,1.8552,8.0907,0.177,47.3501,30.3701,15.7624,37.4258,151.9458,26.93503,71948.001,n
1563435.016,26,305.198,168.901,897.468,305.146,168.758,897.776,300,312,164,174,877,917,2010,40,97,6.1694,4.8888,-58.8574,5.962,4.2667,-52.0884,512.4775,0.8914,0,144.0892,0.2029,56.3301,30.5745,16.9726,0,155.17251,32.904362,-92548.113,n
1563435.035,59,140.62,275.976,931.738,140.515,276.075,932.675,135,147,272,281,918,947,1265,29,78,6.0107,4.0613,73.7295,5.2964,3.695,77.447,400.1382,0.8681,18.7912,303.7509,0.2228,50.5036,22.1919,15.0267,20.3295,157.91638,34.692988,-66858.674,n
1563435.159,281,95.729,260.903,1147.021,95.94,260.787,1146.554,91,104,257,266,1130,1167,1359,37,80,6.6036,3.9091,68.8731,6.179,3.6217,68.8317,320.8201,0.8503,0,66.7159,0.2012,43.2445,29.7553,21.3418,0,158.65928,34.438185,90582.747,n
1563435.161,283,489.123,381.064,1046.615,489.158,381.093,1046.134,485,494,375,388,1030,1072,1768,42,79,6.2687,3.7377,6.106,5.4064,3.3558,7.014,442.3438,1.109,0,176.896,0.2096,50.2026,34.4494,24.1906,0,152.10564,36.443283,16661.482,n
1563435.170,299,506.058,428.494,1026.919,505.898,428.439,1026.523,504,510,423,436,1006,1045,1115,39,53,6.405,2.5947,-10.6202,5.907,2.3247,-10.5728,337.8981,1.0727,13.7352,338.4064,0.2355,42.9692,30.3856,20.1771,28.6708,151.82664,37.232385,2225.3308,n
2361835.026,41,505.588,348.17,950.512,505.83,348.268,950.704,500,512,346,353,931,970,1462,39,58,6.2315,2.9982,-76.8268,5.7394,2.5675,-76.2468,271.4557,0.5829,12.055,111.9806,0.122,58.2106,28.3727,16.7489,20.7153,231.82794,19.89617,-53586.51,n
2361835.056,81,165.928,454.364,960.94,165.873,454.326,960.635,161,173,448,461,946,982,1422,36,72,7.9952,2.6227,-44.9404,7.218,2.4569,-43.4913,264.9852,0.7261,4.6243,331.5131,0.1676,41.9266,27.5847,15.2774,28.6808,237.4939,21.663808,-46276.611,n
2361835.058,85,398.042,206.003,972.639,397.952,205.914,973.492,393,403,203,210,958,989,952,31,49,4.6525,3.1321,-63.4001,4.2482,2.9821,-64.1932,166.92,0.6385,7.2187,316.593,0.1557,34.7426,24.847,16.6604,23.4944,233.62591,17.523598,-36811.664,n
2361835.060,88,257.216,308.128,976.366,257.321,308.059,976.454,251,263,303,314,955,997,1801,42,76,7.0708,3.4895,48.4847,6.3165,3.2035,48.937,380.8474,1.1313,37.0231,218.5008,0.1818,49.3536,29.5156,17.9528,11.9809,235.96977,19.226026,-34631.785,n
2361835.086,134,67.063,98.016,978.982,67.004,97.952,979.484,63,75,91,105,964,993,1849,29,101,6.9982,3.8968,-13.9914,6.6844,3.7563,-20.2551,392.4595,0.8216,17.445,173.8041,0.1903,47.9602,22.7791,16.7616,20.7144,239.14172,15.724225,-32401.174,n
